호선,역번호,역      명,계,일평균,1월,2월,3월,4월,5월,6월,7월
6,2643,상월곡,2295023,10893,307707,265401,347438,353842,368832,328347,323456
6,2644,돌곶이,2937186,13844,409017,345025,435996,444788,457375,413508,431477
6,2645,석계(6),4769607,22576,665678,572656,715987,721117,741111,669707,683351
6,2646,태릉입구(6),1958746,9311,262536,223199,288600,291064,344018,275911,273418
6,2647,화랑대,4230586,20057,571769,484687,643811,652604,683087,594353,600275
6,2648,봉화산,3505543,16530,503195,425508,515181,523483,534155,490386,513635
7,2711,장암,622418,2905,82525,70066,88058,92774,99419,92916,96660
7,2712,도봉산(7),3168933,15027,417729,358830,466920,494608,518431,463338,449077
7,2713,수락산,4504764,21284,633228,548053,672196,666485,690160,642289,652353
7,2714,마들,3958681,18680,562512,483350,580663,593499,607770,553116,577771
7,2715,노원(7),6408479,30190,929421,806319,938709,925038,974192,890641,944159
7,2716,중계,5180048,24430,723513,614433,761137,789005,807201,726452,758307
7,2717,하계,6349700,30032,891744,764602,948100,961784,987083,882459,913928
7,2718,공릉,4310338,20441,578465,502493,669282,658205,692132,599361,610400
7,2719,태릉입구(7),2738722,13081,348675,302155,414057,418476,494631,389792,370936
7,2720,먹골,3434437,16286,497737,425384,504745,507501,535625,476792,486653
7,2721,중화,3652449,17288,518902,444594,535042,543391,578815,508263,523442
7,2722,상봉(7),5463865,25789,783220,679810,811331,801281,826066,766120,796037
7,2723,면목,5316596,25293,721499,625363,813065,829276,839910,748862,738621
7,2724,사가정,5241597,24800,741512,644271,780215,783416,805046,734325,752812
7,2725,용마산,2080557,9833,293812,252080,309193,311830,320853,291887,300902
7,2726,중곡,3372712,15889,477489,410499,498969,501439,512544,474886,496886
7,2727,군자(7),4178836,19690,605257,512187,617086,619495,626958,582978,614875
7,2728,어린이대공원,5212248,25465,591228,518028,854070,929654,974131,742111,603026
7,2729,건대입구(7),4804757,22814,672441,583884,744410,709969,745320,673327,675406
7,2730,뚝섬유원지,3047995,14425,326973,290573,374896,485026,657541,475848,437138
7,2731,청담,6087326,28668,892457,737189,891923,912772,917323,837366,898296
7,2732,강남구청,4445791,20922,653924,535413,652037,661072,668815,615562,658968
7,2733,학동,6663203,31291,1002206,801465,969183,992602,992865,905264,999618
7,2734,논현,5667136,26552,852280,689208,818204,831768,838797,775651,861228
7,2735,반포,1897155,8937,264018,227197,277583,281802,295477,271596,279482
7,2736,고속터미널(7),5954798,28191,864811,789874,864844,856617,896133,830367,852152
7,2737,내방,4353655,20499,638410,523641,636474,652845,662022,596861,643402
7,2738,이수(7),5255517,24704,763782,644404,771436,764411,786673,740661,784150
7,2739,남성,3721451,17592,528844,447875,558366,560516,569415,519175,537260
7,2740,숭실대입구,4772870,23103,594604,492501,804424,809486,816314,664226,591315
7,2741,상도,3552188,16868,460496,394415,555509,555277,577182,510296,499013
7,2742,장승배기,3298281,15562,478436,406397,487868,490597,495030,458415,481538
7,2743,신대방삼거리,5111632,24115,734085,620663,755873,766424,775450,712302,746835
7,2744,보라매,2942178,13867,411693,346212,432110,446655,458633,414592,432283
7,2745,신풍,3588751,16931,505424,431822,530620,535569,550431,510623,524262
7,2746,대림(7),3153644,14971,451008,416134,479099,459272,471206,433124,443801
7,2747,남구로,5033183,23706,735942,619035,743252,749391,750371,692775,742417
7,2748,가산디지털단지(7),13111538,61511,1982642,1616659,1892010,1951294,1941170,1749670,1978093
7,2749,철산,8050973,38031,1146777,985074,1192636,1201731,1237398,1119907,1167450
7,2750,광명사거리,8445555,40000,1216429,1054698,1256818,1257930,1280186,1173991,1205503
7,2751,천왕,2835594,13275,386926,332245,408457,425295,441702,408130,432839
7,2752,온수(7),2915454,13819,387727,330429,446584,462719,461323,412459,414213
7,2753,까치울,2228006,10524,298903,257672,323652,345561,355184,323851,323183
7,2754,부천종합운동장,1511376,7213,198833,171258,215802,288474,227653,203446,205910
7,2755,춘의,2752228,12974,397925,336112,396747,416377,415959,385217,403891
7,2756,신중동,4714534,22250,679472,580717,691564,701353,719227,654967,687234
7,2757,부천시청,4076191,19149,581110,506383,594271,591104,617198,575903,610222
7,2758,상동,4661043,22038,672000,580286,694435,691048,703797,647320,672157
7,2759,삼산체육관,1696385,7959,232432,197792,241531,267505,262271,238935,255919
7,2760,굴포천,2928149,13824,420859,361338,430646,433081,444322,411882,426021
7,2761,부평구청(7),3144090,14818,447358,378920,462843,473553,480027,439217,462172
8,2811,암사,6377235,30071,923675,782107,938744,949796,961677,886748,934488
8,2812,천호(8),6161900,29133,901291,768268,915708,909616,927308,850906,888803
8,2813,강동구청,3749766,17637,555318,458848,547088,551828,561638,517594,557452
8,2814,몽촌토성,2248909,10781,322509,265104,328971,337691,393671,303362,297601
8,2815,잠실(8),5051263,23787,722359,642578,728561,773302,750222,688378,745863
8,2816,석촌(8),3009155,14252,441920,370442,438782,466666,455294,406564,429487
8,2817,송파,3050333,14064,304650,304430,447593,491331,518364,479052,504913
8,2818,가락시장(8),2667981,12634,406405,330588,396535,397272,392890,363028,381263
8,2819,문정,6890224,32264,1019832,822231,992028,1036918,1026928,941994,1050293
8,2820,장지,6639430,31296,952091,813114,983913,976287,1008165,931070,974790
8,2821,복정(8),4109216,19547,565608,471408,632330,644389,643074,581130,571277
8,2822,산성,1965824,9309,265684,227352,295020,300879,309484,286664,280741
8,2823,남한산성입구,4847099,23103,651624,553659,748685,765055,782507,680186,665383
8,2824,단대오거리,3800766,18069,532149,455072,576482,580736,600644,525274,530409
8,2825,신흥,1658108,7783,234845,204293,240575,239798,253310,235885,249402
8,2826,수진,1820126,8559,259903,222514,266366,263369,278387,258675,270912
8,2827,모란(8),1209793,5730,171368,142992,180290,181750,189937,170801,172655
9,4126,언주,3389049,15812,516154,418088,483544,496126,487848,460179,527110
9,4127,선정릉,3305546,15453,478364,394680,475687,494263,497157,456711,508684
9,4128,삼성중앙,2206000,10306,325617,266023,318829,327679,326159,301006,340687
9,4129,봉은사,6811795,31482,929203,787912,968219,989673,1067369,955763,1113656
9,4130,종합운동장(9),1758949,8262,247942,209812,263506,257892,271952,244430,263415
9,4131,삼전,1863617,8669,248215,220436,271872,272567,284914,271056,294557
9,4132,석촌고분,1683442,7812,219245,196401,242681,251267,259851,244481,269516
9,4133,석촌(9),2088125,9647,248702,228231,289154,326108,337740,316170,342020
9,4134,송파나루,1324501,6146,172531,154426,189654,200834,204882,190174,212000
9,4135,한성백제,691398,3229,89927,77050,95084,100688,120700,101026,106923
9,4136,올림픽공원(9),2674546,12209,306660,255489,367268,378991,448814,452593,464731
9,4137,둔촌오륜,307202,1429,36489,33254,46402,47914,48455,46293,48395
9,4138,중앙보훈병원,2473023,11423,322250,281153,344386,369543,386127,364045,405519
